ISBN;id_serije;zaporedna_stevilka_serije
9780575058088;109517;5
9780575058088;109517;5
9780375814709;118185;3
9780375814709;118185;3
9780375814709;118185;3
9780441006106;51930;10
9780441006106;51930;10
9780316002899;43579;5
9780316207508;43579;9
9781934180051;115293;2
9781934180051;115293;2
9781934180051;115293;2
9780061092190;106221;2
9780061092190;106221;2
9780385732536;43606;3
9780385732536;43606;3
9780439023511;73758;3
9780439023511;73758;3
9780345419576;50060;7
9780345419576;50060;7
9780395680926;58083;
9780395680926;58083;
9780061020681;109516;01
9780061020681;109516;01
9780441005765;51930;3
9780441005765;51930;3
9780345379337;40957;5
9780552152945;159506;1
9780552152945;159506;1
9780345419583;49339;13
9780345419583;49339;13
9781524739300;41087;11
9780316101844;43579;8
9781841492612;100463;
9781841492612;100463;
9781841492612;100463;
9780552154307;106221;6
9780552154307;106221;6
9780552154307;106221;6
9780552154307;106221;6
9789896370480;104861;4
9789896370480;104861;4
9789896370480;104861;4
9789896370978;104861;8
9789896370978;104861;8
9789896370978;104861;8
9789896371357;104861;9
9789896371357;104861;9
9789896371357;104861;9
9780810916104;42939;4
9780545060424;45556;2
9780983930846;67844;2
9780142401422;51930;5
9780142401422;51930;5
9780543895141;41459;3
9780543895141;41459;3
9780356500911;40346;16
9780142401446;51930;11
9780142401446;51930;11
9780786837885;44533;3
9780786837878;44533;2
9781423309758;44533;4
9780060577377;44897;3
9780060577377;44897;3
9780142406120;41087;2
9780689865398;44452;2
9780451458629;121235;4
9780451458629;121235;4
9780451458629;121235;4
9780007202300;43814;4
9780007202300;43814;4
9780451461032;40346;8
9780786818617;40838;3
9780061020650;215670;1
9780061020650;215670;1
9780345335654;62114;4
9780345335654;62114;4
9780060882075;44897;4
9780857522276;159506;6
9780857522276;159506;6
9780857522276;159506;6
9780142406830;51930;17
9780142406830;51930;17
9781416914181;42782;9
9780670038701;56532;3
9780670038701;56532;3
9780552152952;109516;02
9780552152952;109516;02
9780385733410;44586;2
9780385733410;44586;2
9780688147204;41459;10
9781590387429;43365;2
9781582349015;41718;3
9780399254413;41087;10
9780142501528;51930;8
9780142501528;51930;8
9780395606490;58083;
9780395606490;58083;
9780316155601;43579;3
9780316155595;43579;2
9780142405789;41087;5
9780399250576;41087;9
9780152045654;40390;2
9781606410424;43365;4
9780803731554;45321;2
9780152020798;72834;7
9781841492056;119216;8
9781841492056;119216;8
9781841492056;119216;8
9780812565959;119216;6
9780812565959;119216;6
9780812565959;119216;6
9780765340054;119216;7
9780765340054;119216;7
9780765340054;119216;7
9780765340054;119216;7
9780765340054;119216;7
9780765340054;119216;7
9780765332004;119216;13
9780765332004;119216;13
9780765332004;119216;13
9780142419281;40574;2
9780142419281;40574;2
9780590396967;159076;8
9780590396967;159076;8
9780590396967;159076;8
9780439436571;42967;4
9780142406144;41087;3
9780451464392;40346;15
B005OCYQW2;49339;11
B005OCYQW2;49339;11
9780451461896;40346;10
9780552152976;40650;13
9781406309355;41087;7
9780385619264;106221;8
9780385619264;106221;8
B001OF5F1E;40957;4
9780547887203;43606;4
9780345369352;62114;11
9780345369352;62114;11
9780575066892;109516;03
9780575066892;109516;03
9780061020674;109518;03
9780061020674;109518;03
9780812550757;119216;10
9780812550757;119216;10
9780812550757;119216;10
9780689865404;44452;3
9781423121329;46343;3
9781423121329;46343;3
9780545060493;45556;9
9780590396431;159076;6
9780590396431;159076;6
9780590396431;159076;6
9780451458926;40346;4
9780439700894;42967;6
9780451462923;56532;2
9780451462923;56532;2
9780747594154;44897;5
9780142501542;51930;14
9780142501542;51930;14
9780441011247;40909;5
9780810994782;42939;6
9780380729340;93546;2
9780152046910;40390;4
9780805080513;40371;4
9781416509639;40909;4
9780375847110;118185;8
9780375847110;118185;8
9780375847110;118185;8
9780375814686;118185;1
9780375814686;118185;1
9780375814686;118185;1
9780060012342;40650;28
9780440238157;44427;3
9780786851478;42742;2
9780440901839;97895;5
9780440901839;97895;5
9781423128199;42742;7
9780064408639;42069;5
9780399244575;43436;4
9781423101468;183923;4
9781423101468;183923;4
9781423101468;183923;4
9781423101468;183923;4
9780142400302;51930;7
9780142400302;51930;7
9780805080490;40371;2
9780545060455;45556;5
9781423146735;183923;10
9781423146735;183923;10
9780439865180;42925;2
9780345375216;58083;
9780345375216;58083;
